french,nature,eton
boutique,n.,ì-pàtìlá
boutique,n.,sɔ́b
bouton,n.,lógô
bouton,n.,ɲ̀-càŋ
bouton à pression,n.,kpáb
bouture,n.,ì-jwàg
bouture,n.,ì-swág
bouture,n.,m-ɔ́ŋnɔ̀
boyaux,n.,ɛ̀-swád
bracelet,n.,ɲ̀-cə́g
braisé,n adj.,ŋm̀-kpɛ́l
braise,n.,d-âg
braiser (sp),v.,síŋlâ
branche,n.,ǹ-tə̀m
branche,n.,ɲ̀-cá
bras,n.,ì-nàm
bras (main incluse),n.,d-ɔ̌
bras supérieur,n.,tín înàm
bravade,n.,à-nùŋ
bravade,n.,ù-bàznà
bravade,n.,ù-lág
brave,n adj.,ŋ̀-káŋá
braver,v.,nə́gnì
bravoure,n.,ù-díꜜdígâ
bredouiller,v.,búblân
bretelle,n.,ì-wág
briller,v.,kàblà
briller,v.,pà
briller,v.,sán
briller,v.,vɛ̀z
brin,n.,kɔ́ŋ
brin,n.,pyám
brio (réussir avec ),v.,nə̀g
briquet,n.,brìké
brise,n.,ì-vúnî
briser (se ),v.,bə́gnì
brûlé,n.,ì-dídîgà
brûler,v.,bàmlà
brûler,v.,bwî
brûler,v.,dígâ
brûler,v.,jóŋ
brûler,v.,kàblà
brûler (se ),v.,díg
brûler (sp),v.,sòblò
brûler (tr),v.,bɔ̀gì
brûlure,n.,ì-jǎŋ
brosse à dents,n.,kpə̀kpàzà
brosser,v.,wàz
brouette,n.,ì-kálíd
brouillé,n adj.,ì-búꜜbúlgí
brouillard,n.,ì-jwǎn
brouillard,n.,pòb
broussailles (sp),n.,ɛ̀-tùmá
brousse,n.,ɛ̀-pàn
brousse,n.,pə́
brouter (chèvre),v.,wòdì
bru,n.,m̀-mɔ́m
bruine,n.,pòb
bruiner,v.,sáb
bruit,n.,ì-dǔŋ
bruit,n.,mə̀-tòg
bruit (sp),n.,ì-sòg
brun (personne),n.,ì-vɛ́lî
brusquer,v.,sìlgànà
brute,n.,m̀pím ŋgûdà
bruyant (être_) (sp),v.,tòg èè
bétadine,n.,ndwân
bâtarde (langue ),n.,ɲjɔ́bî
bâton,n.,ì-ŋgə́ŋ
bâton,n.,sògzò
bâton (manioc),n.,ndə̀ŋ
bâton (sp),n.,kóŋô
bâton (sp),n.,ù-sɔ̀
bubinga,n.,ì-siŋgàn
bubinga,n.,ù-və̀ŋ
bœuf,n.,kág
bœuf,n.,ɲàg
buffle,n.,ɲád
bus (grand),n.,kɔ̀mkɔ̀mɔ̀
but,n.,gôl
but,n.,ì-kɛ̀n
butte (sp),n.,ɛ̀-bóm
cabane,n.,ì-bə̌m
cabochard,n.,ndɔ́g
cabrer (se ),v.,búlgân
caca,n.,mə̀-bí
cacao,n.,kə̀ká
cacaotière,n.,kə̀ká
cacaoyer,n.,kə̀ká
cacaoyère,n.,kə̀ká
caché (être_),v rés.,swàlɔ́
cacher,v.,swàlì
cacher (se ),v.,bòmbò
cacher (se ),v.,swàlbɔ̀
cachet,n.,zìtám
cachette,n.,ɛ̀-sɔ̌
cachotterie,n.,ù-sɔ̀g
cadavre,n.,m̀-mìm
cadavre,n.,ǹ-tú
cadeau,n.,ì-págâ
cadeau (sp),n.,dáz
cadeau (sp),n.,ì-yóm
cadenas,n.,ɛ̀-ŋgòŋ
cadet,n.,mbúz
cadet,n adj.,ǹ-tɔ́gɔ̂
cadet direct,n.,ì-tóóŋgàn
cadrer avec,v.,tóbnì èè
café,n.,ì-pàtìlá
café,n.,kòpí
cafard,n.,pə́péy
caféier,n.,kòpí
cage,n.,mwàn ípwàgɔ́
cahoter,v.,ɲànbàn
cahute,n.,ì-bə̌m
caillé,n adj.,ì-wúwôlò
écaille,n.,ì-báz
cailler,v.,wól
écailler (s’_ ),v.,sógî
caillot de sang,n.,kə̀mə̀
caillou,n.,ì-bǎŋ
caillou,n.,ŋgɔ̀g
caisse,n.,ì-zímí
caisse,n.,ŋ̀-kɔ̌b
cajoler,v.,mə̀ŋlə̀
cajoler,v.,yə̀glə̀
cal,n.,ɛ̀-báŋ
cal,n.,ì-wág
calcul,n.,táŋ
calculer,v.,láŋ
calebasse,n.,ì-kpáz
calebasse,n.,ndə́g
calebasse (sp),n.,cə̌g
calebasse (sp),n.,ɲ̀-cáz
calebasse (sp),n.,ù-bó ndə́g
caleçon,n.,ŋ̀-káná
callosité,n.,ì-bágî
callosité,n.,ǹ-nàn
"calmer (se ), guérir",v.,vwábî
calomnier,v.,bád
calvitie,n.,ɛ̀-vá
calvitie,n.,ɛ̀-yán
calvitie,n.,ŋ̀-kòm ŋgǎn
camarade,n.,à-vùz
camarade,n.,ì-jɔ̀ŋ
camion (long),n.,kɔ̀mkɔ̀mɔ̀
camionnette,n.,ù-pə̀b
caméléon,n.,jɔ̀ŋgwé
camp,n.,yád
canard,n.,ì-lɔ̀lì
canard,n.,ù-lwǎd
canari,n.,m̀-mɔ̀ŋ
Canarium macrophyllum,n.,tɔ̌m
Canarium schweinfurthii,n.,à-bɛ́l
cancan,n.,ndə́ndɔ́ŋ
cancanier,n.,ndə́ndɔ́ŋ
cancrelat,n.,ì-bám
cancrelat,n.,pə́péy
canne,n.,ǹ-túm
canne à sucre,n.,ŋ̀-kóg
canon du fusil,n.,ŋ̀-kɔ́ŋ ŋgál
caoutchouc,n.,ndàmà
capiteux (être_),v.,g͡bè
caprin (sp),n.,só
Capsicum chinense,n.,ì-lòbò
capsule,n.,ì-dìbgâ
capturer,v.,kàm
caquet,n.,ù-jə́m
caquetage,n.,ù-dwád
caqueter,v.,kpál
carabine,n.,cábâ
caractère,n.,d-ǐz
caractère,n.,púúlá
carambolage,n.,tíndîŋ
carburant,n.,ì-sâŋz
Carica papaya,n.,pùpó
carie dentaire,n.,ɲ́cɔ̂mzò
carpe,n.,mbàgà
carpe (sp),n.,ndɔ̀nɔ̀
écarquiller,v.,nɛ̀d
carquois,n.,pàd
carrefour,n.,màbgán
écart (se tenir à ),v.,kɛ́dbə̂ èè
écarter,v.,bó
écarter,v.,nɛ̀d
écarter,v.,nɛ̀dgànà
écarter,v.,sàlgànà
cartilage,n.,káŋgázâ
casque,n.,ì-kóŋó
cassé,n adj.,ì-búbûgà
casse-mangue,n.,kàzmáŋâ
casser,v.,bó
casser,v.,búg
casser (se ),v.,búgî
casser (se ),v.,kə̀glàn
casser (sp),v.,kə́g
casserole,n.,mbə̌
cassimango,n.,kàzmáŋâ
castré,n adj.,ŋm̀-ŋmǎg
castrer,n adj.,ŋm̀-ŋmǎg
catalogue,n.,kàdàlóg
cataracte,n.,ù-ɲǎŋ
catastrophe,n.,ɛ̀-màlá
catastrophe,n.,tíndîŋ
catéchiste,n.,kàdàkíz
catéchiste,n.,ŋ̀-kàdà pɔ́
catéchèse,n.,dɔ́ktɛ̂n
catéchèse,n.,kàdàkísmùz
catégoriquement,adv.,kpáám
causer,v.,láànì
causerie,n.,ǹ-náŋ
caverne,n.,ŋgɔ̀g
cécité,n.,ndím
cecropiacée (sp),n.,à-sə́ŋ
Ceiba pentandra,n.,d-úmá
cendre,n.,ɛ̀-swǐ
centimes (pièce de 25 ),n.,tɔ̀lápɛ̂n
centre,n.,zǎŋ
Cephalophus callipygus,n.,mbǐn
Cephalophus dorsalis,n.,só
Cephalophus monticola,n.,ù-kpə̀ŋ
Cephalopus nigrifrons,n.,ù-bál
Cephalopus silvicultor,n.,zìb
cerceau (sp),n.,ì-jǎm
cercocèbe,n.,ɲ̀-càg
Cercocebus albigena,n.,ɲ̀-càg
Cercopithecus cephus,n.,ù-sǒg
Cercopithecus mona,n.,ɛ̀-sùná
Cercopithecus mona,n.,ì-súm
Cercopithecus neglectus,n.,cígdî
Cercopithecus neglectus,n.,pùŋ
cercueil,n.,ì-zímí
cerveau,n.,bɔ̌
cesalpiniacée (sp),n.,ì-jɛ̀n
cesser,v.,vwàd
chagrin (expression de ),n.,ù-kùgà
chair,n.,ɲ̀-còn
chaire,n.,ì-kàd màm
chaise,n.,ì-bógî
chaleur,n.,à-jóŋ
chaleur,n.,ndúgdâ
chamailler (se ),v.,sáánì
chamailleur,n.,ǹ-sáánà
chambre,n.,ì-tùn í ndá
champ,n.,à-púb
champ (sp),n.,bì-nà
champignon,n.,mbɛ́l
champignon (chapeau de ),n.,à-lɔ́ mbɛ́l
champignon (sp),n.,ì-já
champignon (sp),n.,mbɛ́l mə́síl
champignon (sp),n.,pɛ́dgí
chance,int.,bə̀sɔ́
chance,n.,mbɔ̌m
chandelle,n.,ù-bàg
chaîne,n.,cɛ́n
changement,n.,cɛ́nî
changer,v.,cɛ́nî
échanger,v.,pwàz
échanger (s’_ ),v.,pwàznì
échanger (sp),v.,ɲúŋnì
chanson,n.,j-ǎ
chant (sp),n.,ɛ̀-mbòŋ
chant (sp),n.,mbón
chanter,v.,jà
chanter (coq),v.,lɔ́ŋ
chantier (en ),n adj.,ŋ̀-kóŋó
chanvre,n.,báŋâ
chapeau,n.,ǹ-tóm
chapeau (champignon),n.,mbɛ́l
chapelet,n.,sádyâ
échappatoire,n.,ɛ̀-kɛ̀lbə́
échapper,v.,sɛ̀lgə̀
échapper,v.,sɔ́də́ŋgán
échapper (s’_ ),v.,tú
échapper (sp),v.,cɔ́bdân
chaque,adj.,-sə̀
charançon,n.,kàŋgázâ
charançonné (être_),v.,dúŋ
charbon,n.,d-âg
charbon,n.,m-âg
charge,n.,mbə̀glə̀
charge,n.,m̀-mə̀glə̀
charger,v.,bɛ̀dì
charger,v.,kág
charger,v.,kúdî
charger (fusil),v.,sɔ̀ŋ
charmer,v.,kàz èè
charpente,n.,ǹ-nímŋì
chasse,n.,ɲ̀-cǒm
chasse (sp),n.,ɲ̀-cán
chasse-mouches,n.,ɛ̀-kpâg
chasse-mouches,n.,kâg
chasser,v.,bə̀ŋ
chasser,v.,bó
chasser,v.,càm
chasser,v.,sòm
chasser (action de ),n.,ì-càm
échasses,n.,bì-nág
chasseur,n.,m-òd à ɲcǒm
chasseur,n.,ǹ-sòmò
chasseur,n.,ɲ̀-còmò
chassie,n.,pɔ́dɔ́g
chat,n.,ì-síŋâ
chatouiller,v.,ɲwàmlɔ̀
chat-tigre,n.,mbày
chaud (être_),v.,bàmlà
chaud (être_),v.,jóŋ
chaussette,n.,zìtwágnì
chaussures (une paire de ),n.,ŋgòb
chauve-souris,n.,ŋ̀-ŋə́m
chauve-souris (sp),n.,ù-tàn
chaux,n.,pə́m
échec,n.,m̀-mə̀g
chef,n.,ŋ̀-kúŋkúmá
chef né,n.,àsú zɔ̀gɔ̀
chef (sp),n.,m-òd àtán
échelle,n.,ù-lɔ̀ŋ
chemin,n.,zɛ̌n
chemise,n.,swád
chenille comestible,n.,ŋ̀-kǒŋ
chenille (sp),n.,à-jòz
chenille (sp),n.,ì-kúꜜkúŋ
chenille (sp),n.,ì-lób
chenille (sp),n.,ì-wóódè
chenille (sp),n.,m̀-míŋ
chenille (sp),n.,ŋḿkpâ kə́mə̂
cher,adv.,dyâ
cher,n.,ì-dǐŋ
chercher,v.,jə́ŋ
chercher,v.,twágî
chercher (sp),v.,hə́gbân
cheval,n.,ì-kàblí
écheveau,n.,kùzá
écheveau (sp),n.,ɛ̀-ndùgà
chevelure,n.,l-òŋ
cheveux,n.,l-òŋ
cheville,n.,ì-bwágzí ákǒl
chevrotin aquatique,n.,vyɔ́ŋ
chez,prép.,ábɔ̂
chez-soi,n.,ì-bógî
chez-soi,n.,mbóg
chiche,n adj.,ù-kág
chicotte,n.,ŋmg͡báz
chicotte (sp),n.,ù-sɔ̀
chien,n.,mbú
chimpanzé,n.,wɔ̀gɔ̀
chipie,n.,bó ŋ́kɔ̂ŋɔ̀
chipoter,v.,mángânà
chique,n.,ɛ̀-zwě
chlamydia,n.,ɲjíbâ
Chlorophora excelsa,n.,à-bàŋ
choisir,v.,tɔ́b
choisir,v.,twáb
chose,n.,d-àm
chose,n.,j-ǒm
choses,n.,lǒm
chou caraïbe,n.,ɛ̀-bàŋà
échouer,v.,kù
échouer (faire ),v.,kpə̀zə̀
chéri,n.,ì-dǐŋ
chérir,v.,mə̀ŋlə̀
chrysalide,n.,ɲ́ꜜcígá
chétif,n adj.,ì-kpá
chétif,n adj.,ǹ-tɔ́gɔ̂
chétif,n adj.,ŋ̀-kód
chétif,n adj.,ŋm̀-kpáŋ
châtrer,n adj.,ŋm̀-ŋmǎg
chute,n.,m̀-mə̀g
chute physiologique (passer par ),v.,vwàlì
chuter,v.,vázî
chèvre,n.,kábdì
cicatrice,n.,ì-líg ɛ́və́ŋ
cicatrice (sp),n.,ndól
ciel,n.,d-ǒb
cigale (sp),n.,ì-láŋ
cinq,adj.,-tán
cinq,num.,tán
cinq francs,n.,d-ɔ́lɔ̂
circoncire,v.,kɛ̀lə̀
circoncision,n.,ɛ̀-kɛ̀ɛ́
ciseaux,n.,ɲjɔ̀y
citer,v.,túd
citron,n.,mǎŋ óbə̌
citron,n.,òpúm bə̀tí
citronnelle,n.,nàŋ mə́nàŋà
citronnelle,n.,ùsàŋà
citronnier,n.,mǎŋ óbə̌
civette,n.,zɔ̀y
civette palmiste,n.,mbày
civette (sp),n.,ì-sìz ì zɔ̀y
Civettictis civetta,n.,zɔ̀y
clé,n.,ì-dììgà
clabauderie,n.,ndə́ndɔ́ŋ
clair de lune,n.,ŋm̀-ŋmɛ̌l
clair (peau),n.,ì-vɛ́lî
éclaircissage spontané (passer par ),v.,vwàlì
éclaircissement,n.,m̀-pyà
clamer,v.,bə́glə̂
clameur,n.,kɔ̀m
clan,n.,ɛ̀-jɔ̀ŋ
clan,n.,mbóg
clan éton (sp),n.,ìzǒg
clan éton (sp),n.,ìzùm
clan éton (sp),n.,mə̀ɲàgdâ
claquement,n.,kpádá
classe d’âge,n.,ù-kàlà
éclat,n.,ì-pɛ́z
éclat (sp),n.,ù-báz ḿꜜmáŋ
éclater (s’_ ),v.,bólî
claudication (sp),n.,ù-bà
claudiquer,v.,cə́mgə̂
claudiquer,v.,pɛ́ngə̂
célébration,n.,ù-lùgá
célébration (sp),n.,ì-bàndùm
célébrer,v.,jə́mî
célébrer,v.,lùgzà
célébrer (mariage),v.,kàb
Cleistopholis glauca,n.,ɛ̀-vɔ̌m
célibataire,n.,ŋ̀-kɔ̀
clitoris,n.,ù-sòd
cloche,n.,ɛ̀-bə̀ŋí
cloche double,n.,ŋ̀-kə́ŋ
clopiner,v.,cə́mgə̂
clopiner,v.,pɛ́ngə̂
cloque,n.,ì-tə́tóg
éclore,v.,kə́g
éclore,v.,kpá
clouer,v.,bòmlò
clôture,n.,ŋgólô
clôture,n.,ù-ŋgólô
coaguler,v.,wól
cob defassa,n.,mbɔ̌y
cobra (sp),n.,ŋgɔ̀jɔ̀mɔ́
coccyx,n.,ì-kɔ́g
cochon,n.,ŋgǒy
cochon (sp),n.,ì-ŋgág
cocotier,n.,mbòní
cogner,v.,bòmlò
cogner (sp),v.,pámî
coiffer,v.,kə̀ŋ
coiffer,v.,pɛ̀n
coiffure (sp),n.,ì-lád
coin,n.,ɛ̀-ndúmgí
coin,n.,kwánâ
coin pour fendre du bois,n.,mbázgá
coincer,v.,yə́m
cola,n.,ɛ̀-bɛ̌l
Cola lateritia,n.,ì-pòg
Cola nitida,n.,ɛ̀-bɛ̌l
cola (sp),n.,gòdò
cola (sp),n.,ɲɛ̀l
cola (tranche),n.,ŋm̀-ŋmà
colatier,n.,ɛ̀-bɛ̌l
école,n.,zə̀kúlî
colique,n.,kòglô
coliques,n.,bì-lɔ́g
colis,n.,ɛ̀-tóm
collé (être_),v rés.,bàgá
collant (être_),v.,lád
collecter,v.,cáb
collectivement,adv.,lɔ́bɔ́ lɔ́bɔ́
coller,v.,bàgì
coller,v.,làd
coller,v.,pídgân
coller (se ),v.,bàgbà
colline,n.,ŋ̀-kǒl
colobe,n.,sósô
Colobus guereza,n.,sósô
Colocasia esculenta,n.,ɛ́ ŋkômò
colonie (sp),n.,mbúmbûŋ
colonne vertébrale,n.,ŋ̀-kàg
coléoptère,n.,lélê
coléoptère (sp),n.,kòŋgógô
coléoptère (sp),n.,mbòg mbôgò
colère,n.,ù-lún
Columba unicincta,n.,ɛ̀-pə̀b
combien,adj.,-áŋ
combler,v.,dìbgànà
commandant,n.,ɲ̀-jôy
commandement,n.,ì-jôy
commander,v.,jôy
comme,prép.,ànə́
commencer,v.,kázî
commencer,v.,tádî
comment?,adv.,yá
commenter,v.,pɛ̀zlànà
commission,n.,ù-lóm
commérage,n.,ndə́ndɔ́ŋ
commérage,n.,ɲ̀-cwǎz
commun (en ),adv.,pùlá
communauté,n.,ɛ̀-jóm
compagnie,n.,ì-jɔ̀ŋ
compagnon,n.,ì-jɔ̀ŋ
comparer,v.,və̀gnə̀
comparer (réciproque),v.,və̀gnì
compliqué,n adj.,ɲ̀-jǔg
compliquer (se ),v.,pɛ̀dgàn
complément,n.,ì-bɛ̀dgə̀
complètement,adv.,kpád
compléter,v.,dìbgànà
compléter,v.,jázlâ
comportement peureux,n.,ù-ɲàmnì
composer,v.,tə́
compositeur,n.,ǹ-tə̂
comprendre,v.,wóg
comprimé,n.,ì-bòmó
compter,v.,láŋ
comte rendu,n.,ndɔ́ŋ
concasser,v.,bòm
concertation secrète,n.,ì-sɔ̀gɔ́
concerter (se ),v.,sónbô
concession,n.,yád
conciliabule,n.,ì-són
conciliabule,n.,ì-sɔ̀gɔ́
conclure un accord,v.,jílâ
concurrencer,v.,pɛ̀dnì
condiment,n.,ì-cìdgà
condiment,n.,ù-tə̀g
condiment (sp),n.,ì-zə́záŋ
condiment (sp),n.,ù-lɔ̌m
éconduire,v.,càm
conduire,v.,dùd
confiance,n.,ɛ̀-pìdí
confiance (avoir ),v.,pìdì
confier,v.,jìdì
confier,v.,kúdî
conflit,n.,ɛ̀-vɔ́
confluence,n.,d-ɔ̀
confondre,v.,cɛ́ɛ́nì
confondre à,v.,pòònò
confortablement,adv.,mɛ̀z
congénère,n.,ù-kàlà
conjonctivite,n.,àpòlô
conjonctivite,n.,mə̀-pyǎd
connaissance,n.,ù-jə̀m
connaisseur,n.,ɲ̀-ɲə̀mə̀
connaître,v.,jə̀m
connaître,v rés.,njí
connerie,n.,ì-bùbùà
économie,n.,mə̀-zɔ́y
économie,n.,ù-lìŋ
conraua goliath,n.,d-ǎz
conraua goliath,n.,ɛ̀-bə̀m
consciencieux,n adj.,bə̀mə̀
conseil,n.,dɔ́ktɛ̂n
conseil,n.,mə̀-lə́bgə́
conseil,n.,ǹ-nə́b
conseiller,v.,lə́b
conserver,v.,bàglà
conserver,v.,kɔ̀y
conserver,v.,lìŋ
conserver,v.,này
conserver (se ),v.,bàglàn
considérer,v.,yɛ́n nâ
conspuer,v.,hàmnì èè
conspuer,v.,ɲùmnì èè
constater,v.,yɛ́n
construction,n.,mə̀-lóŋ
construction (en ),n adj.,ŋ̀-kóŋó
construire,v.,jɔ́g
construire,v.,lóŋ
construire (sp),v.,làŋ
construire (sp),v.,làzì
consultation,n.,m̀-pɔ̀mɔ̀
conte,n.,ndɔ́ŋ
conte,n.,ǹ-náŋ
content (être_),v.,wóg
contraindre,v.,nɔ̀dɔ̀
contrainte,adv.,ùbìlà
contrainte,n.,ù-bìlì
contrée,n.,à-tán
contre,prép.,èè
contrefort,n.,ǹ-nì
contrefort (arbre),n.,ǹ-tím
contrefort (sp),n.,ɛ̀-kòngò
contrôle de virginité,n.,m̀-pɛ́lî
contrôler,v.,cáz
convoquer,v.,báŋdâ
convoquer,v.,kùd
co-épouse,n.,mbán
copuler,v.,g͡bɛ̀ɛ̀nì
coquetterie,n.,bì-jàŋ
coquetterie,n.,ɛ̀-ŋgwàn
coquille,n.,ì-kòglò
coquin,n adj.,ǹ-tàndàŋ
cor,n.,ì-bágî
cor,n.,ǹ-nàn
corbeille (sp),n.,bánâ
écorce,n.,ì-bàb ílə́
écorce,n.,ì-kòb ílə́
écorce (pièce d’ ),n.,ì-vín
écorce (sp),n.,ŋ́kɛ́nə̂
écorce (sp),n.,ù-lɔ̌m
écorché (être_),v.,sódô
écorcher,v.,póz
écorcher (s’_ ),v.,pódô
écorcher (s’_ ),v.,sódô
Corchorus olitorius,n.,cwâlgɔ̀
corde,n.,kwǎl
corde,n.,ŋ̀-kwǎl
corde,n.,ɲ̀-càŋ
cordonnier,n.,ŋ̀-kòm ŋ-gòb
corette potagère,n.,cwâlgɔ̀
corne,n.,tɔ́ŋ
corne (sp),n.,ì-làn
corossol,n.,sàbsábá
corossolier,n.,sàbsábá
corps,n.,ɲól
correct,n adj.,ŋ̀-ŋə́mdə́
correct,n adj.,páŋ
corète,n.,ì-nə̀m cwâlgɔ̀
Corythaeola cristata,n.,kúngí
costaud,n adj.,g͡bə́m
costaud,n adj.,ŋ̀-kə́mə̂
costaud,n adj.,ɲ̀-cág
costaud (être_),v.,kə̀m
costaud (être_),v.,ság
coût,n.,táŋ
coûteux,adv.,dyâ
cotisation,n.,ǹjàŋá
cotiser,v.,sùzà
coton,n.,ndə̀b
coton,n.,sùd
cotonnade (sp),n.,mbámdúlá
cotonnier,n.,sùd
cou,n.,cíŋ
couché (être_),v rés.,jògó
coucher avec,v.,kə̀
coucher (se ),v.,bóŋbô
coucher (se ),v.,búdbâ
coucher (se ),v.,jògbò
coucher (se ),v.,nàŋdà
coude,n.,ì-bwágzí dɔ́
coude,n.,ì-kúd bwáŋ
coude,n.,ì-súd bɔ́ŋ
coudre,v.,làd
coula,n.,ì-wómî
Coula edulis,n.,ì-wómî
couler (faire ),v.,còbdò
couleur,n.,ɲól
coupé,n adj.,ì-cícîgà
coup de pied,n.,ɲ̀-càŋ
coup (sp),n.,ì-kúdâ
coupe,n.,ù-kə̀ŋ
couper,v.,cíg
couper,v.,kpə̀
couper,v.,sàl
couper (igname),v.,báŋî
couper (se ),v.,cígî
couper (sp),v.,bázî
couper (sp),v.,bə́g
couper (sp),v.,kɛ́d
couper (sp),v.,kpàgì
couper (sp),v.,lɛ́zî
couper (sp),v.,mwàz
couper (sp),v.,sɛ́dî
cour,n.,ɲ̀-cə̀ŋ
courage,n.,à-zòmò
courant d’air,n.,m̀-pə̀b
courant d’eau,n.,ɲ̀-càbgà
courbé,n adj.,kúꜜkúlá
courber,v.,vìd
courber (se ),v.,kúlbâ
courge,n.,ɲ̀-ɲə̀ŋ
courge (sp),n.,síŋlâ
courge (sp),n.,ù-ŋmg͡bálgí
courir,v.,tə́
couronne,n.,ì-kád
course,n.,ŋm̀-ŋmə́l
court,n adj.,ì-kùŋá
court,n adj.,ì-tùn
court,n adj.,ù-bòm
court (être trop ),v.,hɛ́d
courtiser,v.,kàz èè
couscous,n.,vùvú
coussinet,n.,ɛ̀-bâg
couteau,n.,ù-kə̀ŋ
écouter,v.,vóglô
coutume,n.,ɛ̀-kə̀ŋ
coutume,n.,tùm
couver,v.,báb
couvercle,n.,ì-búdgà
couvert (être_),v rés.,búdâ
couverture,n.,m̀-pìŋá
couvre-chef,n.,ǹ-tóm
couvrir,v.,búdî
couvrir,v.,jàm
couvrir (se ),v.,búdbâ
céphalope (sp),n.,só
céphalophe (sp),n.,ù-kpə̀ŋ
crabe,n.,kádá
crachat,n.,ɛ̀-té
crachin,n.,pòb
craindre,v.,pún
crainte,n.,w-ɔ̌ŋ
crampe,n.,kúlkádá
crapaud,n.,jɔ̀ngí
écraser,v.,kɔ̀g
écraser,v.,píd
écraser,v.,síŋlâ
crasse,n.,mbìd
créateur,n.,ǹ-tə̂
créateur,n.,ŋ̀-kòmò
cravate,n.,kwálɔ̂
crayon,n.,ŋ̀-kòz
crédule,n adj.,ì-mbón
crédulité,n.,ì-lə̀ŋə̀
créer,v.,bònì
créer,v.,kòm
creusage,n.,m̀-págní
creuser,v.,pág
creuser à l’aide d’un objet pointu,v.,pɔ́g
creux,n.,m̀-mɔ́g
crevette,n.,ŋ̀-wǎz
écrevisse,n.,sínâ
cri,n.,ǹ-tàd
cri,n.,ù-lɔ́ŋ
cri (sp),n.,káálá
cri (sp),n.,pɛ̌d
cric,n.,jə́g
Cricetomis emini,n.,kwé ì sí
crinière (sp),n.,ɛ̀-ɲjə́ŋlə́
crinière (sp),n.,ù-làn
criquet,n.,ì-tàngí
criquet (sp),n.,àŋgàdà ìtàŋgí
criquet (sp),n.,mbàg sàná
écrire,v.,tìl
écrire (s’_ ),v.,tìlbàn
crise,n.,ɛ̀-jə́b
écrit (être_),v.,tìlbàn
critique,n.,ù-bàŋgí
critiquer,v.,hàmnì èè
critiquer (sp),v.,sòg èè
écriture,n.,ù-tìl
cérémonie (sp),n.,ì-kááŋgà
croche-pied,v.,báŋ
crochet,n.,kɔ̀b
crochet (sp),n.,m̀-pɛ̀n
crocodile,n.,ŋgǎn
crocodile,n.,ŋ̀-kòm ŋgǎn
croire,v.,kàŋ
croire,v.,pìdì
créole,n.,ɲjɔ́bî
croquer,v.,kòglò
Crossarchus obscurus,n.,ù-bǔd
croître,v.,jò
croître (sp),v.,tù
crotte,n.,ɛ̀-bí
écrouler (s’_ ),q aux.,pɔ́lgân
écrouler (s’_ ),v.,sùglàn
croustillant (être_),v.,kɛ́lə̂
crépir,v.,síŋ
crépuscule,n.,ù-jíjîn
cru,n adj.,nùmní
cruauté,n.,à-jòl ńnə́m
cruauté,n.,mə̀-tóm
cruauté,n.,ŋgɛ́d
crue,n.,ì-bɛ́də̂
crue,n.,ndón
cruel,n adj.,ŋ̀-gə́ŋgɛ́d
côté,n.,ɛ̀-vɛ̀l
côté (de ),adv.,kə́ŋꜜnə́
côte,n.,kòn
côte,n.,mbà
Cucurbita maxima,n.,ɲ̀-ɲə̀ŋ
cueilette (sp),n.,ɲ̀-cáb
cueillette,n.,ì-kɔ̀
cueillir,v.,pád
cuillère,n.,tóg
cuire,v.,bɛ́lə̂
cuire (intr.),v.,bə́
cuire (sp),v.,bùm
cuisine,n.,kásîn
cuisiner,v.,jám
cuisinier,n.,kúgâ
cuisse,n.,à-bə̀
cuit à la braise,n adj.,ŋm̀-kpɛ́l
culminant (point ),n.,mbòmbòd
culotte,n.,háb
culte eucharistique,n.,mɛ́z
cultivar de banane douce,n.,bə́lɔ́ŋꜜmɔ́dɔ́
écume,n.,ì-vúvûz
cupide,n adj.,bì-jə́m
cœur,n.,ǹ-nə́m
écureuil,n.,mbǒg
écureuil (sp),n.,ꜜmbóg
écureuil (sp),n.,kpàm sàlà
écureuil (sp),n.,mɔ̂ŋɔ̀
écureuil (sp),n.,ù-sɛ́n
cuvette,n.,bísîn
cylindre (sp),n.,kúdâ
cylindrique (sp),n adj.,kúdâ
Cymbopogon citratus,n.,mə́nàŋà
Cymbopogon citratus,n.,ùsàŋà
cynisme,n.,ŋgɛ́d
Cythère (pomme ),n.,kàzmáŋâ
dabema,n.,à-tú
dabema,n.,ǹ-tɔ́
d’abord (faire ),q aux.,tá
Dacryodes edulis,n.,à-sá
Dacryodes macrophylla,n.,tɔ̌m
daman (sp),n.,ɲ̀-ɲǒg
dame-jeanne,n.,ɛ̀-ŋgámá
dans,prép.,á
danse,n.,ɛ̀-bóg
danse (sp),n.,bì-kùd sí
danse (sp),n.,ì-kááŋgà
danse (sp),n.,ì-làg
danse (sp.),n.,ì-sánî
danse (sp),n.,ì-wɔ̀ŋɔ̀
danse (sp),n.,kám
danse (sp),n.,mbàlì
danse (sp),n.,mə̀-zə̀m
danse (sp),n.,mbón
danse (sp),n.,ńnɛ́dgə̂
danse (sp),n.,ɲjàmí
danse (sp),n.,ɲjàŋ
danse (sp),n.,ɲ̀-ɲə̀ŋ
danse (sp),n.,ù-lə̀b
danser,v.,jə́m
dard,n.,ḿbómbôŋ
dartier,n.,ŋgòm ì ntáŋní
dartre,n.,ŋ̀-ŋɔ́ŋ
débattre (se ),v.,cáŋdân
débattre (se ),v.,pùbnì
débauche,n.,ì-bàmà
